AMT_CREDIT_MAX_OVERDUE,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CNT_CREDIT_PROLONG,CREDIT_ACTIVE,CREDIT_CURRENCY,CREDIT_DAY_OVERDUE,CUST_ID,DAYS_CREDIT,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,SK_BUREAU_ID,SK_ID_CURR
0,557,9096,1862,228,0,1,USD,99,82620,22,125,0,35,35
6542,961,392,803,0,0,1,USD,0,82621,9,108,0,36,36
0,230,6285,1310,0,0,0,USD,0,82623,64,205,0,37,37
0,882,4364,2163,67,0,0,USD,100,82624,131,83,0,38,38
5298,163,3780,2416,0,45,1,USD,0,82625,265,105,0,39,39
0,295,3664,1709,0,0,0,USD,0,82626,199,11,0,40,40
0,839,3683,2103,0,0,1,USD,0,82633,33,114,0,41,41
0,319,5939,2466,0,0,1,USD,0,82634,69,143,0,42,42
0,878,6051,2764,0,0,1,USD,0,82636,46,170,0,43,43
0,456,1568,742,0,0,1,USD,0,82637,36,187,0,44,44
0,725,3655,2349,0,0,1,USD,0,82640,354,30,0,45,45
0,696,9837,2503,0,0,1,USD,0,82641,19,213,0,46,46
0,770,5908,384,18,0,1,USD,95,82643,92,130,0,47,47
0,581,4851,1932,0,0,1,USD,0,82645,206,33,0,48,48
0,113,3727,2180,0,0,1,USD,0,82646,58,130,0,49,49
0,278,5800,670,0,0,1,USD,0,82647,13,208,100,50,50
0,107,3867,355,0,0,1,USD,0,82648,401,34,0,51,51
0,897,5730,392,0,0,1,USD,0,82653,40,109,0,52,52
0,344,4004,2789,0,0,1,USD,0,82655,233,60,0,53,53
0,276,4251,2379,0,0,0,USD,0,82656,334,12,0,54,54
0,839,1981,832,0,0,1,USD,0,82659,37,105,0,55,55
0,925,4563,1491,0,0,1,USD,0,82663,30,114,0,56,56
0,217,5733,2389,0,0,1,USD,0,82667,40,108,0,57,57
0,727,8707,357,23,0,1,USD,61,82668,18,101,0,58,58
0,386,6352,767,0,0,1,USD,0,82669,28,202,0,59,59
0,272,9636,1186,0,0,1,USD,0,82670,36,102,145,60,60
0,542,5230,2185,0,0,1,USD,0,82673,258,17,0,61,61
0,388,4947,2563,49,0,1,USD,60,82675,45,155,0,62,62
0,207,1255,421,0,0,1,USD,0,82676,8,138,0,63,63
0,974,1868,2933,0,0,1,USD,0,82677,402,20,0,64,64
0,114,647,959,0,0,1,USD,0,82678,172,28,0,65,65
0,169,9682,1337,0,0,1,USD,0,82680,141,63,100,66,66
0,16,728,2527,0,0,1,USD,0,82681,65,104,0,67,67
0,473,4617,376,0,0,1,USD,0,82682,46,187,0,68,68
0,297,3396,793,0,0,1,USD,0,82685,272,190,-70,69,69
0,633,7010,2054,0,0,1,USD,0,82687,92,127,0,70,70
0,639,9943,921,0,0,1,USD,0,82688,205,5,0,71,71
0,510,1138,45,0,80,1,USD,0,82689,252,70,0,72,72
0,568,6442,2617,0,0,1,USD,0,82693,14,103,0,73,73
0,451,2983,566,0,0,1,USD,0,82694,472,69,0,74,74
0,640,7715,1847,0,0,1,USD,0,82695,163,33,0,75,75
0,624,6531,1571,0,0,1,USD,0,82698,99,131,210,76,76
0,908,6029,1977,0,0,1,USD,0,82700,15,267,0,77,77
0,179,6695,2507,0,0,1,USD,0,82702,42,186,0,78,78
0,507,3793,2995,0,0,1,USD,0,82703,43,324,0,79,79
0,876,8715,157,0,0,0,USD,0,82705,57,210,0,80,80
975,383,1646,2969,0,0,1,USD,0,82706,3,150,0,81,81
0,344,6494,1987,0,0,1,USD,0,82707,0,105,0,82,82
3189,80,4191,2700,0,0,1,USD,0,82708,79,180,0,83,83
0,703,2005,866,0,0,1,USD,0,82709,125,36,0,84,84
278,157,3478,726,0,0,0,USD,0,82710,14,149,185,85,85
0,771,8141,847,0,0,0,USD,0,82713,160,0,0,86,86
0,852,8994,1689,0,0,1,USD,0,82715,34,145,0,87,87
0,589,7634,1750,0,0,1,USD,0,82716,7,126,0,88,88
0,207,74,2916,0,0,1,USD,0,82717,119,82,0,89,89
0,632,8651,978,0,0,1,USD,0,82721,42,218,0,90,90
0,122,6605,298,0,0,1,USD,0,82722,22,133,200,91,91
0,436,1799,844,0,0,0,USD,0,82724,96,122,0,92,92
0,649,7308,429,0,0,1,USD,0,82726,27,134,0,93,93
0,54,762,808,0,0,0,USD,0,82729,125,97,0,94,94
0,458,1094,742,0,0,0,USD,0,82730,127,23,0,95,95
5998,381,7549,111,0,0,1,USD,0,82732,79,168,105,96,96
0,865,45,336,0,0,1,USD,0,82734,5,124,0,97,97
0,658,7293,1879,0,0,1,USD,0,82735,140,38,80,98,98
0,142,227,1992,0,0,1,USD,0,82736,10,173,0,99,99
0,476,5875,1475,0,0,1,USD,0,82737,144,15,100,100,100
0,815,9029,252,0,0,0,USD,0,82740,635,12,0,101,101
0,116,9704,555,0,54,1,USD,0,82741,36,220,0,102,102
0,844,1015,564,0,0,0,USD,0,82745,27,144,0,103,103
0,339,679,2286,0,0,0,USD,0,82746,50,228,0,104,104
0,333,459,2724,0,0,1,USD,0,82750,61,159,0,105,105
0,565,1258,2009,0,0,1,USD,0,82752,103,149,0,106,106
0,938,2916,2317,0,0,1,USD,0,82753,48,105,0,107,107
0,54,4230,1284,0,0,1,USD,0,82754,31,106,0,108,108
0,91,5795,1932,0,0,1,USD,0,82756,51,109,0,109,109
0,554,1007,2113,0,0,0,USD,0,82757,61,144,0,110,110
0,925,7549,1264,0,0,1,USD,0,82759,32,261,0,111,111
0,708,9052,2765,0,0,1,USD,0,82762,49,137,-5,112,112
0,513,4509,2910,4,0,0,USD,91,82764,20,102,0,113,113
0,872,7584,1873,0,0,1,USD,0,82765,70,135,-110,114,114
4599,576,2689,1149,25,0,1,USD,50,82766,195,107,0,115,115
0,329,2258,10,0,0,1,USD,0,82767,78,201,0,116,116
0,264,7195,285,0,0,1,USD,0,82772,7,160,0,117,117
0,933,8273,21,0,0,0,USD,0,82774,83,114,0,118,118
0,273,6929,1682,0,0,1,USD,0,82778,56,142,0,119,119
0,424,2733,1700,0,0,1,USD,0,82783,50,133,0,120,120
0,66,922,1863,0,0,1,USD,0,82784,156,230,0,121,121
0,534,884,2069,0,0,1,USD,0,82785,25,312,0,122,122
0,954,7145,2935,0,0,1,USD,0,82786,19,106,0,123,123
0,942,7762,2724,0,75,1,USD,0,82788,3,146,0,124,124
0,438,9592,1352,0,0,1,USD,0,82790,30,427,0,125,125
0,84,9292,778,0,0,1,USD,0,82791,11,227,345,126,126
0,683,969,2038,0,0,1,USD,0,82792,32,134,0,127,127
0,338,141,2128,0,0,1,USD,0,82793,164,80,0,128,128
0,288,8197,566,0,0,1,USD,0,82794,46,120,0,129,129
0,4,7881,1678,0,0,1,USD,0,82795,47,124,0,130,130
693,940,5315,488,0,0,1,USD,0,82796,131,41,0,131,131
0,955,2941,2120,0,0,1,USD,0,82799,57,425,0,132,132
0,975,2370,1250,0,0,1,USD,0,82800,169,9,0,133,133
0,214,6915,137,0,38,1,USD,0,82801,29,202,0,134,134
0,308,424,1068,0,0,1,USD,0,82803,47,161,0,135,135
0,774,3483,2760,0,0,1,USD,0,82804,186,78,0,136,136
0,203,8662,1153,0,0,1,USD,0,82805,39,103,0,137,137
0,895,8869,2348,0,0,1,USD,0,82807,133,68,0,138,138
0,803,3350,1152,0,0,1,USD,0,82810,256,21,0,139,139
0,223,1640,1039,0,0,1,USD,0,82815,236,92,0,140,140
0,912,8034,1070,0,0,0,USD,0,82817,93,345,0,141,141
0,288,3342,600,0,0,1,USD,0,82818,9,147,0,142,142
0,663,3818,1711,0,0,0,USD,0,82819,118,20,0,143,143
0,887,225,2653,0,67,0,USD,0,82820,90,136,220,144,144
0,420,28,898,0,70,1,USD,0,82822,100,66,0,145,145
0,282,75,2170,0,0,1,USD,0,82823,24,120,0,146,146
0,631,6360,2182,0,0,1,USD,0,82824,5,171,0,147,147
0,110,6865,583,0,61,1,USD,0,82825,127,39,0,148,148
0,839,7171,2590,0,0,1,USD,0,82826,94,185,0,149,149
0,329,2173,1953,0,0,1,USD,0,82827,202,16,50,150,150
0,299,8395,1075,0,0,1,USD,0,82829,77,129,0,151,151
0,717,5931,2228,0,87,1,USD,0,82830,54,114,0,152,152
0,553,6531,441,0,33,1,USD,0,82840,12,107,-5,153,153
0,629,6387,971,0,0,1,USD,0,82841,83,137,0,154,154
0,170,6614,2164,0,0,1,USD,0,82843,46,116,110,155,155
0,197,2914,2514,0,0,1,USD,0,82844,173,12,0,156,156
0,468,8159,1390,0,0,1,USD,0,82845,303,2,165,157,157
0,629,9853,953,0,0,0,USD,0,82846,73,112,0,158,158
6960,457,7402,858,0,0,1,USD,0,82848,107,149,265,159,159
0,699,5500,559,0,0,1,USD,0,82850,1,108,0,160,160
0,306,1523,847,0,0,1,USD,0,82853,51,120,0,161,161
0,957,2176,2754,0,0,0,USD,0,82854,27,119,190,162,162
0,155,5028,1443,0,0,1,USD,0,82856,49,139,0,163,163
0,615,2260,2523,0,0,1,USD,0,82857,41,106,0,164,164
0,858,9847,1483,0,0,1,USD,0,82858,261,119,90,165,165
0,598,3804,737,0,0,1,USD,0,82859,19,351,0,166,166
0,427,5416,43,0,0,1,USD,0,82860,126,8,45,167,167
8708,523,282,100,0,0,0,USD,0,82865,1,128,0,168,168
0,410,1924,184,0,0,0,USD,0,82867,339,6,0,169,169
0,49,3244,1118,0,0,1,USD,0,82868,36,201,230,170,170
0,637,6767,271,0,39,1,USD,0,82869,196,93,20,171,171
0,259,7970,170,0,66,1,USD,0,82870,95,209,0,172,172
0,416,1957,1425,22,0,1,USD,54,82874,256,103,0,173,173
0,828,3306,798,0,0,1,USD,0,82876,24,122,0,174,174
735,114,4136,2094,0,0,0,USD,0,82877,62,126,0,175,175
0,576,3441,2985,0,0,1,USD,0,82879,108,11,0,176,176
0,499,140,873,0,0,1,USD,0,82882,7,132,0,177,177
0,843,7978,1993,0,0,0,USD,0,82884,64,153,115,178,178
0,323,8843,318,0,0,0,USD,0,82886,305,194,0,179,179
0,320,6411,392,7,0,0,USD,68,82888,44,241,0,180,180
0,533,9013,875,0,0,0,USD,0,82889,137,5,0,181,181
0,34,7276,466,0,0,1,USD,0,82890,4,101,0,182,182
0,518,4612,1731,0,0,1,USD,0,82892,151,76,0,183,183
0,930,4383,1384,0,0,1,USD,0,82894,180,75,0,184,184
0,646,5384,2057,0,0,1,USD,0,82897,13,129,0,185,185
0,339,6444,954,0,0,1,USD,0,82898,35,142,0,186,186
0,495,3426,2932,0,0,1,USD,0,82901,28,106,0,187,187
0,655,9650,342,0,0,1,USD,0,82902,81,156,0,188,188
9668,793,3752,581,0,0,1,USD,0,82903,83,152,210,189,189
0,824,885,493,0,0,1,USD,0,82904,41,151,0,190,190
0,174,1608,2197,0,0,1,USD,0,82905,31,101,0,191,191
0,313,3189,1534,0,0,1,USD,0,82906,8,166,175,192,192
0,851,591,387,0,0,1,USD,0,82907,245,70,0,193,193
0,351,6243,2862,0,0,1,USD,0,82908,17,161,-50,194,194
0,748,2605,1541,0,0,1,USD,0,82909,206,38,0,195,195
0,994,3566,2071,0,0,1,USD,0,82912,22,130,0,196,196
0,229,9973,636,0,0,1,USD,0,82913,90,182,115,197,197
3116,606,5807,262,0,0,1,USD,0,82914,85,142,0,198,198
0,709,8334,1814,0,0,1,USD,0,82915,27,190,0,199,199
0,631,4856,2442,0,0,1,USD,0,82916,88,105,0,200,200
0,160,7856,2725,0,0,1,USD,0,82921,5,134,0,201,201
0,964,2047,2171,0,0,1,USD,0,82923,31,235,0,202,202
0,174,3064,661,0,0,1,USD,0,82924,150,4,0,203,203
0,598,3058,715,0,0,1,USD,0,82926,100,31,0,204,204
0,463,8119,7,0,0,1,USD,0,82927,269,27,0,205,205
0,33,2127,761,0,0,1,USD,0,82930,53,239,0,206,206
0,834,7365,2602,0,0,1,USD,0,82931,147,124,0,207,207
0,448,9300,2507,0,0,1,USD,0,82932,10,129,0,208,208
0,242,8765,916,0,0,1,USD,0,82933,113,8,0,209,209
0,91,5428,1449,0,0,1,USD,0,82934,41,286,155,210,210
0,339,7363,1432,0,0,1,USD,0,82937,3,214,0,211,211
0,330,2338,2470,0,0,0,USD,0,82941,6,130,165,212,212
0,343,8443,1423,0,0,1,USD,0,82943,333,139,0,213,213
0,177,1622,986,14,0,1,USD,57,82949,333,117,100,214,214
0,332,8319,136,0,0,1,USD,0,82954,130,55,0,215,215
0,23,610,1451,0,0,1,USD,0,82955,169,19,0,216,216
0,977,4915,188,0,0,1,USD,0,82956,260,97,5,217,217
9792,726,7119,2997,0,0,1,USD,0,82961,406,142,0,218,218
0,534,8743,1514,0,0,1,USD,0,82962,45,170,0,219,219
4024,177,1530,2901,0,0,1,USD,0,82963,208,22,0,220,220
0,621,6100,1628,0,0,1,USD,0,82965,88,132,0,221,221
0,992,9040,647,0,0,1,USD,0,82966,24,174,0,222,222
0,852,1617,1141,0,0,1,USD,0,82967,269,76,0,223,223
0,71,1390,1454,0,0,0,USD,0,82971,42,242,5,224,224
0,130,2127,2891,0,0,1,USD,0,82972,54,109,0,225,225
0,594,2546,1273,0,0,1,USD,0,82973,13,214,0,226,226
0,510,6949,1349,0,0,1,USD,0,82974,179,78,0,227,227
0,875,914,314,0,0,1,USD,0,82975,73,130,0,228,228
0,896,783,2232,0,0,0,USD,0,82976,102,7,0,229,229
0,521,3593,1971,0,0,1,USD,0,82978,261,126,0,230,230
0,436,2830,165,0,0,1,USD,0,82979,113,21,225,231,231
0,719,8814,473,0,59,1,USD,0,82981,7,150,0,232,232
0,214,4991,1702,0,0,1,USD,0,82983,23,140,0,233,233
0,853,6373,1291,0,0,1,USD,0,82986,19,177,0,234,234
0,261,6501,1800,0,0,1,USD,0,82987,34,203,0,235,235
0,134,1795,896,0,0,1,USD,0,82989,126,106,0,236,236
0,320,8140,1790,0,0,1,USD,0,82990,16,260,0,237,237
0,169,8454,2588,0,0,0,USD,0,82994,46,138,0,238,238
0,687,1985,2752,0,0,1,USD,0,82996,15,195,0,239,239
0,675,9390,2531,0,0,1,USD,0,82997,48,164,0,240,240
0,746,1542,289,0,0,1,USD,0,82998,309,63,0,241,241
0,838,2937,623,0,0,0,USD,0,83001,24,163,0,242,242
0,621,6463,988,0,0,1,USD,0,83003,153,47,0,243,243
0,420,6414,1477,0,0,1,USD,0,83004,165,68,0,244,244
0,527,705,82,0,0,1,USD,0,83005,20,175,0,245,245
0,960,9613,1025,0,0,0,USD,0,83006,32,154,0,246,246
0,1,8481,331,0,41,1,USD,0,83012,32,105,165,247,247
0,888,9983,744,0,0,1,USD,0,83013,177,186,0,248,248
0,58,9010,2716,0,0,1,USD,0,83014,304,42,0,249,249
0,789,8777,1556,0,0,1,USD,0,83015,15,112,0,250,250
0,824,6126,229,0,0,1,USD,0,83018,108,19,0,251,251
0,731,1075,1682,0,0,1,USD,0,83019,60,273,0,252,252
0,99,4910,1961,0,0,1,USD,0,83020,97,176,0,253,253
0,295,964,2869,0,67,1,USD,0,83024,32,161,0,254,254
0,966,5597,1555,0,0,0,USD,0,83025,339,7,0,255,255
0,848,795,629,0,0,1,USD,0,83027,29,311,0,256,256
0,265,2415,1020,0,0,1,USD,0,83028,17,144,0,257,257
0,136,5644,2066,0,0,1,USD,0,83030,159,163,0,258,258
0,889,2915,1622,0,0,1,USD,0,83032,5,174,0,259,259
9269,523,9596,1453,0,0,1,USD,0,83033,125,65,0,260,260
997,868,3584,1489,0,0,1,USD,0,83034,230,67,150,261,261
0,529,5019,1142,0,0,1,USD,0,83035,7,134,0,262,262
0,745,8479,2794,0,0,1,USD,0,83037,69,107,0,263,263
0,878,7303,1840,0,0,1,USD,0,83040,326,102,0,264,264
0,7,7490,1170,0,0,1,USD,0,83041,76,145,0,265,265
0,150,1781,2570,0,0,1,USD,0,83042,13,144,80,266,266
0,120,1608,1706,0,0,0,USD,0,83045,18,159,0,267,267
0,232,863,521,0,0,1,USD,0,83049,28,160,0,268,268
0,866,6417,558,0,0,1,USD,0,83050,7,167,110,269,269
0,574,7882,267,0,0,1,USD,0,83051,42,122,0,270,270
4336,795,164,1795,0,0,0,USD,0,83052,103,8,0,271,271
0,81,3914,1466,0,0,1,USD,0,83057,42,118,0,272,272
0,198,4789,1657,0,0,1,USD,0,83058,16,127,0,273,273
0,756,8942,169,0,0,1,USD,0,83059,381,138,-25,274,274
0,567,2928,2758,13,0,1,USD,93,83061,71,112,0,275,275
8245,40,4344,313,0,0,1,USD,0,83065,100,14,330,276,276
0,489,3035,2350,0,0,1,USD,0,83066,7,273,0,277,277
0,919,4121,1453,0,0,0,USD,0,83068,49,267,0,278,278
0,729,9164,1714,0,0,1,USD,0,83069,7,109,-10,279,279
0,170,4044,913,0,0,1,USD,0,83070,191,2,0,280,280
0,431,7989,2682,205,0,1,USD,59,83074,157,87,0,281,281
0,344,3616,151,0,0,1,USD,0,83077,133,42,0,282,282
0,962,3965,1918,0,0,1,USD,0,83078,87,197,0,283,283
0,756,7207,262,0,77,1,USD,0,83079,138,29,0,284,284
0,395,8859,892,0,0,1,USD,0,83080,35,130,0,285,285
0,295,51,659,113,0,0,USD,98,83083,161,33,0,286,286
0,425,7602,942,0,0,1,USD,0,83085,107,38,290,287,287
0,7,6234,1546,0,0,0,USD,0,83090,3,104,0,288,288
0,273,8296,721,0,0,0,USD,0,83091,288,80,0,289,289
0,208,1429,1637,0,0,1,USD,0,83094,224,37,0,290,290
0,320,5887,1670,0,0,1,USD,0,83095,18,170,70,291,291
0,23,4910,141,0,0,1,USD,0,83096,177,7,0,292,292
0,803,9510,3,0,0,1,USD,0,83097,24,140,0,293,293
0,228,2393,2370,0,0,1,USD,0,83098,55,101,0,294,294
0,824,7589,653,0,0,1,USD,0,83099,80,120,0,295,295
0,391,1999,1863,0,0,1,USD,0,83102,23,132,0,296,296
0,999,4931,2679,0,0,1,USD,0,83104,140,3,0,297,297
0,128,5790,1854,0,0,1,USD,0,83105,344,12,0,298,298
0,733,3402,1910,0,0,1,USD,0,83106,5,117,0,299,299
0,684,6762,2702,0,87,1,USD,0,83108,42,123,0,300,300
0,838,7176,2986,0,0,1,USD,0,83110,60,235,270,301,301
0,190,8362,703,0,0,1,USD,74,83114,6,179,0,302,302
0,28,8260,458,0,0,1,USD,0,83115,122,266,0,303,303
0,196,5181,2631,0,0,1,USD,0,83116,61,102,0,304,304
0,852,6364,2825,0,0,1,USD,0,83117,65,173,0,305,305
0,463,7460,255,0,0,1,USD,0,83120,72,145,140,306,306
0,59,5764,1245,85,0,1,USD,68,83121,1,365,90,307,307
0,863,7070,2213,0,0,1,USD,0,83122,69,119,75,308,308
0,996,9636,1067,0,0,1,USD,0,83125,17,114,0,309,309
0,400,4709,2566,0,0,1,USD,0,83126,148,89,0,310,310
0,694,1467,43,0,0,0,USD,0,83130,316,197,0,311,311
0,111,3476,1222,0,0,1,USD,0,83131,3,264,0,312,312
0,310,3436,1790,0,0,1,USD,0,83133,99,277,0,313,313
5139,120,2157,2183,0,0,1,USD,0,83137,17,103,195,314,314
0,636,4718,490,0,0,1,USD,0,83140,225,57,0,315,315
0,89,4104,1476,0,0,1,USD,0,83143,35,109,0,316,316
0,322,7793,1724,0,0,1,USD,0,83145,211,105,0,317,317
3961,225,7199,2806,66,0,1,USD,78,83146,103,69,0,318,318
0,27,454,2458,0,0,1,USD,0,83147,107,3,0,319,319
0,936,7935,1975,0,0,0,USD,0,83148,2,119,0,320,320
0,282,5136,124,0,0,1,USD,0,83150,6,112,210,321,321
0,754,8130,908,0,0,1,USD,0,83153,6,103,-25,322,322
0,20,6089,608,17,0,1,USD,79,83154,46,235,0,323,323
0,132,4953,2326,0,0,0,USD,0,83161,24,170,0,324,324
0,311,4460,385,0,0,1,USD,0,83163,95,119,0,325,325
0,921,4485,2095,0,0,1,USD,0,83167,36,358,0,326,326
0,437,9120,2686,0,0,1,USD,0,83169,210,151,-15,327,327
0,31,2323,2363,0,0,1,USD,0,83178,61,102,0,328,328
0,461,7627,313,0,0,1,USD,0,83181,219,45,0,329,329
0,471,9927,2912,13,0,1,USD,74,83182,45,135,0,330,330
0,710,2268,1438,0,0,1,USD,0,83185,146,93,70,331,331
0,399,9194,2613,0,0,1,USD,0,83186,240,224,0,332,332
0,596,8210,1037,0,0,1,USD,0,83187,21,141,0,333,333
0,510,9759,1475,0,0,1,USD,0,83190,35,195,0,334,334
0,561,3957,1011,26,0,1,USD,45,83191,83,121,0,335,335
0,593,4732,2961,0,0,1,USD,0,83192,70,104,240,336,336
0,511,3231,413,0,74,1,USD,0,83194,17,124,0,337,337
0,803,1924,106,0,0,1,USD,0,83199,103,53,35,338,338
0,958,465,1184,0,0,1,USD,0,83204,274,179,0,339,339
0,481,6129,1262,0,0,0,USD,0,83207,89,151,0,340,340
0,235,1594,147,0,0,1,USD,0,83210,44,127,30,341,341
0,890,3365,1014,0,0,1,USD,0,83214,34,130,0,342,342
0,543,4868,2144,0,0,1,USD,0,83217,30,252,115,343,343
0,996,5502,853,0,0,1,USD,0,83219,115,74,0,344,344
0,189,7821,2096,37,0,1,USD,33,83220,75,171,0,345,345
0,506,6399,399,0,0,1,USD,0,83222,253,140,0,346,346
0,149,9513,645,0,0,1,USD,0,83223,55,228,0,347,347
0,365,7385,2260,0,0,1,USD,0,83229,57,312,0,348,348
0,512,5973,838,0,0,1,USD,0,83231,189,69,0,349,349
0,677,5863,1537,0,0,1,USD,0,83233,286,8,135,350,350
0,902,339,2770,0,0,1,USD,0,83234,20,121,0,351,351
0,479,55,892,0,0,0,USD,0,83238,3,237,200,352,352
0,442,7155,799,0,0,1,USD,0,83239,569,25,0,353,353
0,394,774,461,0,0,1,USD,0,83240,26,139,0,354,354
0,161,5498,1312,0,0,1,USD,0,83241,21,104,0,355,355
0,609,2657,395,0,0,1,USD,0,83243,292,67,0,356,356
0,636,1781,1726,59,0,0,USD,94,83244,68,127,0,357,357
0,845,6553,168,0,0,0,USD,0,83245,71,122,0,358,358
0,480,6702,2138,0,0,1,USD,0,83246,91,108,0,359,359
0,335,7269,292,0,0,0,USD,0,83254,31,138,0,360,360
0,605,9575,2389,0,0,1,USD,0,83255,122,9,0,361,361
0,305,5574,308,0,0,1,USD,0,83257,5,155,0,362,362
7676,82,5954,1422,0,0,1,USD,0,83261,83,260,0,363,363
0,507,5445,2973,24,0,1,USD,100,83265,2,134,350,364,364
0,230,4629,1196,0,0,1,USD,0,83266,116,76,0,365,365
0,417,3177,1761,0,0,1,USD,0,83267,9,181,0,366,366
0,366,2086,2995,0,0,1,USD,0,83268,96,147,0,367,367
0,310,4997,462,0,0,1,USD,0,83270,1,195,65,368,368
0,281,9967,2533,0,0,1,USD,0,83271,27,125,0,369,369
0,551,9218,2392,0,0,1,USD,0,83273,136,40,80,370,370
0,493,2410,1111,0,0,1,USD,0,83277,105,156,0,371,371
0,549,8924,986,0,0,1,USD,0,83278,87,128,0,372,372
0,308,1350,1338,351,70,1,USD,88,83279,178,118,0,373,373
0,972,9339,2134,0,0,1,USD,0,83281,44,105,0,374,374
0,552,6837,74,0,0,1,USD,0,83282,246,8,0,375,375
0,350,8134,464,0,0,1,USD,0,83283,122,227,-30,376,376
0,996,669,527,20,0,1,USD,74,83284,122,94,0,377,377
5096,671,3236,2371,0,0,1,USD,0,83285,63,114,0,378,378
0,420,923,2592,0,0,0,USD,0,83286,259,17,255,379,379
0,609,5124,967,0,0,0,USD,0,83287,36,252,345,380,380
0,357,2867,1467,0,0,1,USD,0,83288,45,162,150,381,381
0,421,9940,1770,0,0,1,USD,0,83289,3,111,0,382,382
0,307,7181,2588,0,0,1,USD,0,83291,22,227,0,383,383
0,439,4072,150,0,0,0,USD,0,83292,13,177,0,384,384
0,817,918,1538,0,0,1,USD,0,83295,111,1,0,385,385
0,734,7993,398,0,0,1,USD,0,83297,62,208,0,386,386
0,83,3647,1086,0,0,1,USD,0,83298,120,41,0,387,387
0,708,7327,871,0,0,0,USD,0,83301,79,139,0,388,388
0,499,60,1334,0,0,1,USD,0,83303,93,124,255,389,389
0,369,4788,2642,0,0,1,USD,0,83305,209,135,175,390,390
0,849,1706,2217,0,0,1,USD,0,83308,539,157,0,391,391
0,183,817,2803,0,0,1,USD,0,83310,176,198,0,392,392
0,789,1733,2882,0,0,0,USD,0,83317,360,72,0,393,393
0,221,5663,2469,0,0,1,USD,0,83319,21,108,0,394,394
9772,388,2375,1661,0,0,1,USD,0,83321,28,248,0,395,395
0,751,9452,1476,0,0,1,USD,0,83322,170,166,0,396,396
0,506,976,1311,0,0,1,USD,0,83326,13,189,0,397,397
0,357,7842,2537,0,0,1,USD,0,83333,69,179,0,398,398
0,531,9216,176,0,0,1,USD,0,83336,214,5,125,399,399
0,961,8462,1783,0,0,1,USD,0,83338,56,139,0,400,400
0,419,9462,467,0,0,1,USD,0,83339,139,57,0,401,401
3137,167,7969,2102,0,0,1,USD,0,83342,87,100,0,402,402
0,342,2957,1854,0,0,1,USD,0,83348,127,39,0,403,403
